site_index,summary
41,کتاب حاضر یکی از مهمترین نوشته های میرچا الیاده است. پژوهنده صاحبنظر، در این کتاب «صور» و «اشکال» عالم قداست و دیانات و آئین ها و اساطیر و رمزها را بررسی کرده است.دو مسأله مذهب چیست؟ و به چه میزانی می توان از تاریخ ادیان سخن گفت؟ موضوع اصلی کتاب است و چون نویسنده در باب فایده تعریف مقدماتی پدیده مذهبی بدگمان است، در این کتاب به بحث درباره تجلیات قداست یا لاهوت به گسترده ترین معنای کلمه بسنده شده است. در نتیجه فقط پس از بررسی شمار کلانی از این تجلیات، می توان مسأله تاریخ اشکال و صور مذهبی را مطرح ساخت.روش تحقیق نویسنده در این کتاب بسیار ساده و قابل اطمینان است. او پژوهش خود را با شرح چندین تجلی قداست در کیهان، قداستی که در سطوح و مراتب مختلف کیهان، در آسمان و آب و زمین و سنگ، ظاهر می شود، آغاز کرده است، نه بدین علت که آن را کهن ترین تجلیات قداست می پندارد بلکه از این رو که شرح آنها از سویی، دیالکتیک قداست و از سوی دیگر ساختمان و ساختارهای ظرف (یا وعاء) قداست را توضیح می دهد.
44,ترجمه ایست از ع. پاشایی به چاپ نشر ثالث. گزیده ای از سخنان ارزشمند و گوهربار بودا که از کتب بودایی گوناگون انتخاب شده و نزد بودایی ها به عنوان کلام بودا مشهور است در کتاب پیش رو گردآوری شده است. راه جلیل راهیست در جستجوی آرامش بی برتر، آرامشی بی آلایش که دستخوش هیچ آلاینده ای نشده است.
45,در مواجهه با پدیده ها و رخدادهای جدید و ناگهانی به غریزه پناه برده بودم. این نه یک رفتار خاص و نه رفتاری شایع میان مردم است. هرکسی به فراخور اندیشه و شخصیتش یک جور با تجربیات جدید دست و پنجه نرم می کند. برای من طبیعتا مکان جدید، تصمیم جدیدی می طلبید. و من، علی پاشا ملکشاهی، برای اولین بار در هیبت یک زندانی بود که توانستم خوب شروع کنم.
46,کتاب حاضر یادداشت های رضا خواجوی از نبرد تنکابن و پیوستن مجاهدان مازندران به نهضت گیلان است که به درخواست دکتر غلامحسین صدیقی قلمی نمومد.
47,مانند بسیاری از نمایش نامه ها، حصارها نیز به تجربه های سیاه پوستان آمریکا و آزمون مسائل نژادی در میان دیگر تم هایش، می پردازد. این اثر در ۱۹۸۷، برنده جایزه پولیتزر برای نمایش نامه و همین طور جایزه تونی شده است. این اثر، برای اولین بار در همایش ملی نمایش نامه نویسان مرکز تئاتر یوجین اونیل در ۱۹۸۳ روی صحنه رفت.
48,تاریخ فلسفه‌ای کمیاب و بسیار خواندنی.خواننده در عین آشنایی عمیق با آرای فیلسوفان از دیرباز تا دوران معاصر با روایتی بدیع از تاریخ فلسفه توأم با سوانح روزگارشان و عوامل بیرونی و تأثیرگذار و جذاب بر تاریخ اندیشه مواجه می‌شود.نویسندگان کتاب تاریخ اندیشه فلسفی در غرب می‌کوشند تا خواننده با رشد اندیشه‌های فلسفی از مجرای گفت‌و‌گوهای آشکار و پنهان خلّاق فیلسوفان، در بستر تاریخ آشنا شود. روایت ماجراجویی‌های تفکر فلسفی فیلسوفان، با ابزار گفت‌وگو و نقّادی که فرهنگ بشری را غنا و ژرفا بخشیده‌اند، دعوتی است از مخاطب تا مشتاق شود خود نیز در ماجرای سراسر پرتکاپو و ثمربخش فکر فلسفی سهیم گردد.
51,-نمای داخلی یک آشپزخانه را به طور کامل طراحی کنید -نمای کابینت، سینک و بقیه عناصر دکوراسیون را به دلخواه مشتری تغییر دهید -روکش های مختلف مثل سنگ، فلز، چوب و غیره به اشیاء بدهید -نور و انعکاس اشیاء را در تصاویر ایجاد کنید
52,این رمان داستان مردی جوان را به تصویر می کشد، مردی با گذشته ای دشوار و دردی که به یک باره او را از این رو به آن رو کرده است، دردی که کابوس شب هایش شده و خواب را از سرش ربوده است، درد از دست دادن! گذشته ای که خیلی زود پر کشید و خوشی نا فرجامی که به سرعت به ناخوشی مبدل شد دست از سر مرد که سعید نام دارد بر نمی دارد، آن قدر که گاه و بی گاه سعید را به دل خود می کشاند، به آن روز دلنشین و متفاوتی که او را به سوی برگی نو از سرنوشت سوق داد و به چشمانی دریایی که ناگهان رعشه بر دلش انداخت.
54,پروانگان شمع جمع جلد اول از جهاد اکبر، بیداری و سلوک در سه بخش ۱. سلوک اخلاقی ۲. نیاز، بیداری و حرکت ۳. توبه و ۱۱ فصل، به مباحث اخلاقی به گونه‌ای پرداخته که اخلاق فردی رایج که قرنهاست به آن پرداخته شده است به نگاه جمعی و تمدنی و کاروانی تغییر دهد و باب جدیدی را در بحث سیر و سلوک باز کند.
55,این کتاب ضمن ارائه توضیحاتی پیرامون مثنوی معنوی، ابیاتی را از این اثر راه گشا و هدایت گر در اختیار می گذارد که می تواند همچون درسنامه ای انسان امروزی را با خود همراه سازد و درس هایی را در ابعاد جسمی، روحی، فردی و اجتماعی به او ارائه دهد.
56,نظریه اقتصادی تعادل عمومی، ریشه در کار والراس داشته و با مقاله بنیادین ارو و دبرو به پیشرفت رسمی خود رسید. پیشرفت این نظریه با تلاش­های اقتصاددانان و ریاضی‌دانان بسیار باهوشی که تعداد زیادی از جنبه‌های متفاوت این نظریه را اصلاح نمودند حاصل شده است. به هر حال این کار پیشگامانه پروفسور اسکارف بود که این نظریه انتزاعی را به حیطه مسائل تجربی حقیقی وارد کرد. اسکارف مسئله محاسبه تعادل را برای مدل به اصطلاح والراسی بیان نمود و آن را حل کرد. پروفسور شون و پروفسور والی، دو تن از شاگردان اسکارف، اولین افرادی بودند که توانایی تحلیل تجربی این نظریه را هنگام آغاز تحلیل اثرات اقتصادی برخی اصلاحات مالی در اقتصاد ایالات متحده آمریکا نشان دادند.از آن پس، حوزه و رشته­ای که در ادبیات اقتصادی آن­را با نام تعادل عمومی کاربردی می­شناسیم از حرکت و رشد بازنایستاده است. ممکن است به نظر برسد مقالات متعددی که در مورد کاربردهای تجربی تئوری پایه ­ای تعادل عمومی پژوهش می­کنند، مشترکات اندکی داشته باشند. آن­ها موضوعات و سوالات اساسی را در حوزه‌هایی به تنوع مالیه عمومی (تأثیر اصلاحات مالیاتی بر رفاه خانوارهای کشور و درآمد دولت چیست؟)، تجارت (منافع اقتصادی توافق­نامه­های تجاری میان دو یا چند کشور و منطقه چیست و این منافع چگونه میان طرفین توزیع شده است؟)، اقتصاد محیط زیست چگونه مالیات­های سبزو یا مجوزهای محدودکننده انتشار آلودگی بر انتشار 2CO تأثیر می­گذارد؟علم اقتصاد شهری و منطقه­ای و سایر حوزه­ها مطرح می­کنند. به هر حال، پاسخ­های کمی مناسب به همگی این سوالات را می­توان با کمک ابزارها و روش ­شناسیارائه شده در تعادل عمومی کاربردی پیدا کرد.
57,این کتاب نه شرح و توضیح اصول و اندیشه ی بنیادین روشنگری بلکه شناخت و بازاندیشی روح روشنگری در پرتو رویدادها و دگرگونی های سترگ دو سده ی گذشته است. نویسنده تنها به برشماری خطوط اصلی اندیشه ی روشنگری و یا ارائه ی سنتزی از آنها بسنده نمی کند بلکه اندیشه ها و اصول روشنگری را رویاروی رخدادهای تراژیک تاریخی می نهد و سپس برازندگی و شایستگی آنها را دربرابر چالش های روزگار ما می سنجد و می گوید: «با انتقاد از روشنگری است که هم به روشنگری وفادار می مانیم و هم آموزهایش را به کار می بندیم»
58,لحظه ای پیش چشمتان به این کتاب خورد، آن را برداشتید، براندازش کردید، و اکنون دارید این سطرها را می خوانید. بسیار عالی! شاید با نگاهی به مطالب، آن را بخرید، شاید هم نخرید. ولی خب … آیا امکان ندارد که (شما) در جهانی دیگر، دست به این کارها نمی زدید؟ اگر (شما) زمانی که چشمتان به کتاب خورد، از آن رو برمی گرداندید و سراغش نمی آمدید. چه؟ آیا (شما) در موازات خودتان حضور دارید؟گیتی های موازی در جای جای علمی تخیلی حضور دارند، و تعجبی هم ندارد. آن ها به ما این امکان را می دهند تا با بیرون رفتن کامل از جهان خودمان، در مورد همین پرسش خیال پردازی کنیم که (اگر … چه؟) نه این که تنها بیندیشیم جهانی که می شناسیم در اثر یک رویداد به چه صورت دیگری در می آمد. برای کیهان شناسان این پرسش مطرح است که (اگر ثابت هایی که سنگ بنای بنیادی فیزیک را می سازند متفاوت بودند، چه؟) ایده هایی که در این کتاب، له یا علیه این ایده ی افسونگر، از سوی برترین اندیشه ورزان این حوزه است؛ که از امکان پذیری نظری بسگیتی گرفته تا سفر در زمان را در برمیگیرد. همچنین به ایده ی (برین ها) و وجود بعدهای دیگر پرداخته می شود. و نیز وارسی این امکان که آیا به راستی (ثابت های طبیعت) ثابت اند؟یکی از بزرگترین دستاوردهای علم این است که می توانیم بپرسیم چرا گیتی به این صورت است که هست؟ امکان پذیری های گوناگونی برای بسگیتی وجود دارد، و کوشش علمی عظیمی در این راه صرف می شود تا درنهایت به این پرسش غایی بپردازد که (اگر … چه، چرا ما، چرا اکنون؟)
59,من تنها نویسنده ی این کتاب نیستم. می خواهم این کتاب را با همکاری تو بنویسم. می خواهم تو هم توی این کتاب از آرزوها، دوست ها، کتاب ها و غذاهای مورد علاقه ات و خیلی چیزهای دیگر بنویسی، چه طوری؟ صفحه ی 7 کتاب را بخوان.من کیتی هستم. از این چیزها خوشم می آید: «دوچرخه، شکلات، دوست هایم و آقای تابز.»مامان می گوید: «من بامزه ترین دختر دنیام.»اما او خیلی وقت ها هم سرم غر می زند که اتاقت را مرتب کن!مشق هایت تمام شد؟ چرا مواظب برادر کوچولویت نیستی کیتی؟اولش خسـ سـ سـ سـ ته شده بودم!ولی بعد از نوشتن این کتاب، دیگر هیچ وقت حوصله ام سر نرفته است!
60,رده بندی 400 (عشق یک طرفه) اولین رمان سوفی دیوری نویسندهی معاصر فرانسوی است که چاپ اول آن در سال 2010 به طور همزمان در فرانسه و کانادا منتشر شد. این رمان به دلیل ساختار منحصر به فرد و نوآورانه اش در کوتاه مدت با اقبال بسیار خوانندگان روبرو و به زبان های مختلف ترجمه شد. داستان از ابتدا تا انتها از زبان خانمی کتابدار، مشغول به کار در طبقه ی زیرین یک کتابخانه شهرستانی، به صورت مونولوگ روایت می شود. مخاطب او که ظاهرا فردی نامرئی است در کتابخانه محبوس و ناگزیر به شنیدن در دل های این خانم کلافه ی حدودا چهل ساله ولی مجرد است. راوی در طول داستان علاوه بر اینکه توجه مخاطبش را به وقایع گوناگون و گاه عجیبی که در محیط کتابخانه می گذرد جلب می کند، حرف های بی پرده ای را به زبان می آورد و بی وقفه به زبان طعنه و طنز، به بیان واقعیت های در خور توجه و غیر قابل انکار می پردازد: از موضوعات تاریخی گرفته تا موضوعات تامل برانگیز در خصوص برخی از نویسندگان بزرگ نظیر گی دو موپاسان یا سیمون دو بووار و روابط پنهان و آشکاری که آن ها به دلخواه یا از سر ناچاری با دیگران داشته اند.
61,کتاب «زندان زمان» رمانی نوشته ی «مارگرات پیترسون هدیکس» است که نخستین بار در سال 1995 به چاپ رسید. در سال 1840، وقتی اغلب کودکان ساکن در روستایی کوچک و دورافتاده به نام «کلیفتون» در حال بیمار شدن هستند، مادر «جسی» او را به جنگل می برد تا به دنبال گیاهان دارویی بگردند. مدتی است که مادر «جسی» رفتاری پنهانکارانه و غیرمعمول داشته اما چیزی که اکنون به «جسی» می گوید، کاملا باورنکردنی است. به نظر می رسد «کلیفتون» به هیچ وجه یک روستای عادی نیست. در حالی که بسیاری از کودکان به بیماری دیفتری متبلا شده اند، مادر «جسی» از او می خواهد که فرار کند و مردی را بیابد که ممکن است بتواند به آن ها یاری برساند.
62,کتاب «یادگیری عمیق با MATLAB» با عنوان انگلیسی (MATLAB Deep Learning) برای دو دسته از افراد نوشته ‌شده است. ابتدا افرادی که قصد دارند یادگیری عمیق را در یک رویکرد سیستماتیک برای تحقیق و توسعه بیشتر مطالعه کنند کدهای نمونه به ‌گونه‌ای ساخته ‌شده‌اند که خواندن و فهم آن‌ها آسان باشد. این کدها برای خوانایی بهتر در متلب نوشته ‌شده‌اند. هیچ زبانی بهتر از متلب وجود ندارد که بتواند ماتریس‌های یادگیری عمیق را به روشی ساده و شهودی مدیریت کند. کدهای نمونه فقط از توابع اساسی و گرامر استفاده کرده‌اند به ‌طوری‌ که حتی کسانی که با متلب آشنایی ندارند به ‌راحتی می‌توانند مفاهیم آن را درک کنند. برای کسانی که با برنامه‌نویسی آشنا هستند درک کدهای نمونه آسان‌تر از متن این کتاب است.کتاب یادگیری عمیق با MATLAB به چه مباحثی می‌پردازد؟این کتاب حاوی6 فصل است که می‌تواند در سه گروه طبقه‌بندی شود. اولین موضوع یادگیری ماشین است و در فصل 1 انجام می‌شود. یادگیری عمیق از یادگیری ماشین نشات می‌گیرد. این بدان معنی است که اگر شما بخواهید اصل یادگیری ماشین را درک کنید می‌بایست تا حدودی فلسفه‌ی پشت یادگیری ماشین را بدانید. موضوع دوم شبکه‌ی مصنوعی هوشمند است که فصل‌های 2 تا 4 بر روی این موضوع تمرکز دارد. چون یادگیری عمیق نوعی از یادگیری ماشین است که از شبکه‌ی عصبی استفاده می‌کند، شبکه‌ی عصبی از یادگیری عمیق جدا نیست.مبحث سوم موضوع اصلی این کتاب یعنی یادگیری عمیق است که در فصل 5 و 6 آمده است. فصل 5 محرک‌هایی را معرفی می‌کند که یادگیری عمیق را قادر به عملکرد عالی می‌کند. فصل 6 شبکه‌ی عصبی کانولوشن را پوشش می‌دهد که نماینده‌ی تکنیک‌های یادگیری عمیق است.
63,در این مجموعه، تصاویر زیبا و جذاب با شعرهای کوتاه و دلنشینی همراه شده اند. کودکانی که علاقه ی زیادی به نقاشی و رنگ آمیزی دارند، می توانند در کنار نقاشی از خواندن و حفظ کردن این شعرها نیز لذت ببرند. با استفاده از این کتاب می توانید علاوه بر سرگرم کردن کودکتان، به تقویت تمرکز، شناخت رنگ ها و هماهنگی چشم و دست او کمک کنید.
64,محمود مردی میانسال و استاد دانشگاه است. در احوالات عرفانی و دنیای دلخواه خود، یعنی قرن چهارم و پنجم سیر می کند. اتفاقی باعث می شود که محمود خود را در همان قرن ها و در پیشگاه شیخ ابوسعید ابوالخیر ببیند و عاشق یکی از مریدان او شود. درهم آمیختگی روایت کلاسیک و مدرن و نیز چاشنی طنز و فانتزی در بستری تاریخی منجر به خلق داستانی جذاب و خواندنی با ویژگی های خاص نویسندگی عباس سلیمی شده است. در قمستی از این کتاب می خوانیم: از خرانق گذشته ایم و بر کویر می رانیم. داریم از کنار آن تابلوهای سبز فلکی می گذریم و هر تابلو آسمانی است که وقتی محوش می شوم، قلپ قلپ آب وارد شش هایم می شود و دست و پا می زنم، نفسم می گیرد و حتی با بودن حسن، که می خواهد آن قدر بزی ام تا خودش رگ بسملم را بزند، غرق می شوم. رنگ سبز فلکی همیشه همین بلا را سرم می آورد؛ وقتی بر آن تمرکز می کنم خیزاب های سهمگین به سویم می تازند. گاهی هم کف می کند و در برم می گیرد و دست و پا می زنم، آن گاه حسن به سخن می آید و می گوید: «فلسفی نشو فقیر! اصلا رنگی نیست و آنچه هست تابلو است و تابلو هم نیست، آن تویی و تو هم نیستی و آنچه هست اوست.»
66,این کتاب به قلم استاد بزرگ شطرنج که می توان در آن عشق او به شطرنج و فلسفه اش را در این حیطه به خوبی مشاهده کرد نگارش شده و دیدی روشنگرانه از ذهن و اندیشه او به دست می دهد. کارپف در کتاب خود به صراحت از نبردهایی که در داخل و خارج از صفحه شطرنج داشته سخن گفته، و حقایقی جالب و ناگفته را پیرامون بازیکنانی معروف و نام آشنا بیان کرده که گاه تعجب برانگیز است. چیزهایی مثل شرکت در جلسات فراروان شناسی یا شرکت در مراسم جادوگری برای غلبه بر رقیبان. کارپف که کتاب های بسیاری را پیرامون استراتژی شطرنج به رشته تحریر درآورده، این بار پای از این دایره بیرون نهاده و تصویرگر خودش به عنوان یکی از قهرمانان بزرگ شطرنج شده است.
67,کتاب شمیم گل نرگس در هجده فصل تدوین شده است. در این فصول روایات متعددی در موضوعات مختلف مربوط به امام زمان عجل الله تعالی فرج گردآوری شده است. موضوعی برخی از این فصل‌ها عبارت است از: ولادت امام زمان، مسئله غیبت، وظیفه شیعه در عصر غیبت، نشانه‌های ظهور، ویژگی‌های قیام حضرت، سیره امام زمان پس از ظهور و … .در ابتدای کتاب نیز برخی از آیات قرآن که مربوط به مسئله ظهور منجی و نجات عالم است آورده شده است.در مجموع کتاب شمیم گل نرگس شامل 313 روایت و چند آیه است. روایات این کتاب ساده بوده و نیاز به تفسیر و توضیح پیچیده ای ندارد. از این رو این کتاب برای عموم مردم به خصوص جوانان بسیار مفید است و سبب آشنایی ایشان با اندیشه مهدویت خواهد شد.
69,کتاب «نور و سایه در طراحی از چهره جلد ششم» اثر هنرمند معاصر عبدالله علیخانی، مجموعه‌ای از طراحی چهره‌های شاخص را دربرمی‌گیرد. به کارگیری خطوط آزاد، در طراحی‌های این کتاب بیان واضحی است که خصوصیات فردی و جایگاه اجتماعی فرد به تصویر کشیده شده را بر اساس شناخت نسبی نقاش بدون هیچ‌گونه واسطه‌ای به مخاطب انتقال می‌دهد. ارائه این گونه خطوط به‌ویژه در شخصیت‌های مرد، هیجان خاصی را به اثر می‌بخشد که نتیجه‌ی اعتماد به نفس طراح در سایه‌ی تمرین و ممارست است. کتاب «نور و سایه در طراحی از چهره جلد ششم» با صفحات گلاسه‌ی رنگی از سوی انتشارات یساولی منتشر شده و در اختیار علاقه‌مندان به هنر طراحی قرار گرفته است.
70,"مجموعه ای هیجان انگیز از شعرهای ویسواوا شیمبورسکا. وقتی که کتاب اینجا در لهستان منتشر شد ، منتقدین با تعجب گفتند: ""چگونه است که او هربار بهتر می شود؟"" این نوزده شعر ، توسط بهمن طالبی نژاد و با راهنمایی ها و کمک های آنا مارچینوفسکا که خود لهستانی است به فارسی ترجمه شده است. booklist درباره ی این کتاب نوشته است:""هیچ خواننده ای ، حتی کسانی که شعر دوست ندارند ، نباید از افشاگری های روشنگرانه ی برنده جایزه نوبل شیمبورسکا بی بهره بمانند [...] شیمبورسکا به شدت طعنه آمیز و فلسفی است و به دقت به پدیدار رویاها و گریزان بودن معنا می پردازد. این مجموعه ی شعر که شامل اشعاری است که به صورت مرتب در این کتاب جمع آوری شده اند بسیار دلپذیر و ژرف هستند. "" در بخشی از شعر افکاری که در خیابان شلوغ به سراغم می آیند می خوانیم:چهره ها.میلیاردها چهره بر گستره زمین.هر یک متفاوت از چهره هایی که بوده اند و خواهند بود.ولی چه کسی حقیقت طبیعت را درمی یابد؟شاید از رشد بی وقفه اش خسته شدهو ایده های گذشته اش را تکرار می کند.با نقاب های کهنه بر چهره ما. شاید ارشمیدس است که از کنارت رد می شود در لباس جین،کاترین کبیر در لباسی ارزان،چند تایی فرعون با کیف دستی و عینک!"
71,ناامیدی در زمان طلاق به میزان انتظارات ما از زندگی مشترک بستگی دارد. هر چه انتظار ما از زندگی بیشتر باشد و لزوم وجود فرد دیگری را برای معنادار کردن زندگی بیشتر احساس کنیم، تحقق نیافتن انتظاراتمان ما را مأیوس‌تر می‌کند. برای بسیاری از افراد زندگی پس از طلاق مانند ظرف شکسته‌ای است که فرد برای ادامه آن باید بتواند اجزای شکسته آن را جمع‌آوری کند. در این دوره می‌توان احساسات عمیق عاطفی مانند یأس، ناامیدی، انتقام، مقابله به مثل و درماندگی را تجربه کرد. این افراد، برای زندگی پس از طلاق باید جهت تازه‌ای را در پیش گیرند و البته به زمانی نیاز دارند که برای آرزوهای بربادرفته خود به سوگ بنشینند و سرانجام به این حقیقت پی ببرند که باید از گذشته دل بکنند. اکثر کتابهایی که درباره طلاق نوشته شده است، تنها به بیان مشکلات برخاسته از جدایی می‌پردازند؛ مانند آسیب دیدن «خود» شخص، بی‌ارزش دانستن خود و پرسشهای مکرر درباره علت طلاق و ترس از آینده. اما دکتر بروس فیشر با ارائه چهارچوب مشخصی این امکان را برای خواننده فراهم می‌سازد تا این دوره کوتاه را بررسی کند، جایگاه خود را تشخیص دهد و با استفاده از رهنمودهای عملی گام به گام، به سوی آینده‌ای سالم و پرنشاط پیش رود. در واقع با مطالعه این کتاب، فرد می‌تواند از گذشته درس بگیرد، خود را بهتر بشناسد و ابعادی از وجود خود را پرورش دهد که قبلا برای او ناشناخته بوده است. بهترین تعبیری که می‌توان از سازندگی این دوره کرد، نقاهت و بهبودی بعد از عمل جراحی است.
72,داستان های این کتاب بر موضوعات گوناگون اخلاقی و رفتاری مثل خودشناسی، ایمان، نیکی به پدر و مادر، صبر و تلاش، امیدواری، بخشندگی و..... تمرکز دارند. در پایان هر داستاک هم پیام آن در بخشی به اسم آموزه آمده است.
76,بوریس گرویس در این کتاب به باستان شناسی فرهنگی در اقلیمی مشخص می پردازد تا توجه ما را به اهداف زیبایی شناختی بنیان‌گذاران کمونیسم شوروی جلب کند. هنرمندان و نظریه پردازان تمامیت طلب اتحاد جماهیر شوروی، همچون سایر مدرنبیت ها در نقاط دیگر، آرزومند هنری بودند که بتواند جهان را دگرگون کند، نه اینکه صرفا آن را به تصویر درآورد.انقلابیون اکتبر 1917 وعده‌ی ایجاد جامعه‌ای را می‌دادند که نه تنها عادلانه‌تر و به لحاظ اقتصادی باثبات‌تر، بلکه زیبا‌تر هم باشد. آن ها می‌خواستند کل حیات ملت را تماما تابه زمام داران حزب کنند، زمام‌دارانی که وظیفه داشتند کلیتی «هنرمندانه» را از دل حتی جزئی‌ترین جنبه‌های زندگی به وجود آورندو بدان هم‌آهنگی و سامان بخشند. اما ریشه‌های این ایده و نتیج هنری و ادبی‌اش چه بودند؟
78,یکی از دشواری ها در فلسفه ارتباط نفس با بدن است. کسانی آن را قدیم و حی و کسانی آنرا حادث وحی دانسته اند و حیات مندی موجود زنده را به آن نسبت داده اند. این کتاب وجود نفس را مورد انکار و یا تایید قرار نداده است بلکه در پی پاسخ به این پرسش است که آیا حیات مندی موجود زنده از ناحیه آنچه که نفس حی نامیده می شود امکان پذیر است.
79,"برایان تریسی که یکی از برترین سخنرانان حرفه ای و مربیان فروش در جهان امروز است،دریافت که مهمترین موفقیت او در فروش کشف ""روانشناسی فروش"" است که مهمتر از تکنیک ها و روش های فروش میباشد.هدف تریسی در کتاب روانشناسی فروش،ارائه مجموعه ای از روش ها،ایده ها،استراتژی ها و تکنیک هاییست که میتوانید به طور کاملا عملی در افزایش فروش محصولات خود استفاده کنید.تریسی که از او به عنوان معلم فروش هم یاد میشود،نتایج حاصل شده ازین کتاب را بار بار ها بروی شاگردانش مشاهده کرده است.او همیشه از میلیونر کردن شاگردانش لذت برده که توانسته آنها را به این سطح از نبوغ برساند .آن هم فقط با انجام دادن تکنیک های ساده کتاب""روانشناسی فروش""!تربرنامه صوتی کلاسیک تریسی با عنوان ""روانشناسی فروش"" پرفروش ترین برنامه آموزش فروش در تاریخ است و هم اکنون برای اولین بار در قالب کتاب روانشناسی فروش گسترش یافته و به روز شده است.در کتاب روانشناسی فروش از برایان تریسی موارد زیر به صورت کاربردی توضیح داده میشود به طوری که فروشندگان بتوانند قدرت فروش خود را دو چندان کنند:""بازی باطنی فروش""چگونه ترس از رد شدن(قبول نکردن درخواست خرید) را از بین ببریم؟چگونه می توان اعتماد به نفسی مستحکم ایجاد کرد؟کنترل افکار ، احساسات و اعمال برای موثرتر بودن"
83,چشم های سنگی و داستان های دیگر، مجموعه ای است دو جلدی از داستان های جذاب بلوک شرق که به ترجمه و انتخاب قاسم صنعوی جمع آوری شده است. مولف تلاش کرده تا از همه ی نویسندگان برجسته ی اروپای شرقی، حداقل یک داستان در این مجموعه حضور داشته باشد و به دلیل این سخت گیری در انتخاب مطلب، خواننده فرصت مطالعه ی مجموعه ای با کیفیت از بهترین داستان های اروپای شرق را به دست می اورد. اسامی نویسندگانی که اثری از آن ها در این کتاب آمده ممکن است برای مخاطب نا آشنا با ادبیات شرق اروپا کمی غریبه باشد اما تک تک این نویسندگان نامی بزرگ در کشور خود بوده و به همین سبب هم انتخاب شده اند.آثار منتخب از ادبیات بلغارستان، رومانی، لهستان، یوگسلاوی، چک-اسلواکی و مجارستان برداشته شده اند و سوای جذابیت و گیرایی خط داستان ها، بخش اعظمی از اوضاع اجتماعی و سیاسی منطقه و زمان خلق داستان را بازتاب می دهند.جلد نخست این کتاب داستان هایی از بلغارستان و چک-اسلواکی را شامل می شود که عامل یک جنایت از هاشک که نویسنده ی اهل چک است، داستانی درخشان و رئال با طنزی تلخ و شیرین می باشد. از بلغارستان هم داستان مرگ یک پرنده اثر امیلیان استانف، فلسفه و حقیقت مرگ را در قالب ادبیات حیوانات بیان داشته است. اسم کتاب هم از داستان چشم های سنگی اثر لادا گالینا، نویسنده ی معروف بلغار گرفته شده که داستان یک گروه حفاری است که حین کار با قبرستانی تاریخی مواجه می شوند.در جلد دوم داستان هایی از نویسندگان کشور رومانی، لهستان و مجارستان آمده و بخش انتهایی مجموعه با آثاری از نویسندگان یوگسلاو خاتمه می یابد. پایان تعطیلات که اثری از اوژن باربو نویسنده ی اهل رومانیست، داستان احساسات واقعی یک زوج در نیمروزی که در تعطیلات سپری می کنند را بیان می کند.
84,بعضی ها به نارنج می مانندتلخ هم شوندباز عطر شان مستت می کند...
85,کتاب حاضر در چهار بخش و 26 فصل تدوین یافته که در بخش اول به توضیح رویکرد کتاب و تفاوت آن با سایر رویکردها اختصاص یافته است. در بخش دوم مسایل کاربردی در توان بخشی و مشاوره خانواده، درگیر کردن خانواده، حضور درمانگر در منزل، درمان مشارکتی، جلسات خانواده، برخورد با مسایل هیجانی و تاثیر خانواده بر متخصص و... مورد بحث قرار می گیرد و راه های عملی و موثر کار با بیمار و خانواده را نشان می دهد. بخش سوم، مسایل هیجانی نظیر خنثی کردن خشم، مدل مذاکره، کمک به زوج های جوان، کودکان در خانواده، اشتغال و... با دقت و همراه ارایه راهکارهای مفید بیان می شود. بخش چهارم به نتیجه گیری اختصاص یافته است. مطالعه این اثر برای روان شناسان بالینی، روان پزشکان، مددکاران اجتماعی و متخصصان توان بخشی و مشاوره مفید و راهگشا است.
86,میانسالی یکی از دوره های انتقالی مهم زندگی است. دوره ای که ویژگی های جسمی و روحی انسان تغییرات محسوسی می کند دوره ای که اگر هرکس آن را بشناسد و درک کند، به راحتی تغییرات جسمی، روحی و روانی خود را کنترل خواهد کرد. این کتاب حاوی پیشنهادهایی عملی و روشن است تا زندگی پیش روی میانسالان را با درک و هوشیاری بهبود بخشد. همچنین با خواندن این کتاب می توانید علاوه بر آشنایی بیشتر با فرآیند تغییر در میانسالی، از این تغییرات در جهت تکامل خود بهره ببرید.
87,پل گوگن از جمله هنرمند پیشرو در اوخر قرن نوزده و اوایل قرن بیستم است که به دلیل نوع بکارگیری رنگهای نمادین، بعدها جزو رهبران جنش سمبولیسم انتخاب شد.
88,فرهنگ دارویی کتابی است حاوی مهمترین اطلاعات مربوط به داروهای ژنریک در ایران: نام ژنریک، فرمول شیمیایی گسترده، فرمول شیمیایی بسته، نام شیمیایی، فارماکولوژی، فارماسوتیکس، موارد منع مصرف، عوارض جانبی، تداخل اثر دارویی، اشکال دارویی، نام های تجارتی.
89,سعید نفیسی دلبسته پرکار زبان و فرهنگ ایران بود که مقاله های ارزشمندی در زمینه زبان و ادب فارسی نوشته است.جلد نخست مقالات او در دو بخش انتشار می یابد:بخش نخست شامل بیست مقاله درباره خط و زبان است که نخستین آنها به سال 1303 در روزنامه شفق سرخ و واپسین مقاله در آن زمینه به سال 1352 چاپ شده است.بخش دوم بیست و شش مقاله در مباحث ادبیات(شعر و نثر) را دربرمی گیرد که درمیان سال های 1308 تا 1343 انتشار یافته است و اکنون به صورت یکجا دراختیار خواهندگان قرار می گیرد.
