fa_title,en_title,price,discount,score,publisher,author,code,Isbn,pages,publication_per_date,publication_ad_date,size,cover_material,print_series,earliest_send_time,summary,tags
کتاب قلقلی میره به بازی با گربه نازنازی, Ghelgheli," 15,000 "," 12,750 ",3.5,برف,مریم طالشی,87123,978-9646418813,1401,شومیز,,خشتی,,,,,"['داستان مصور', 'شعر', 'ادبیات ایران', 'کتاب کودک', 'شعر کودک', 'شعر ایرانی', 'کتاب مصور', 'آموزشی']"
کتاب شهادت نامه عاشقان, Shahadat nameh Asheghan," 120,000 "," 96,000 ",3.91,سوره مهر,ولی اله کلامی زنجانی,79932,978-6000306045,1396,زرکوب,,رقعی,,,,,"['دینی و مذهبی', 'ادبیات ایران', 'شعر ایرانی', 'شعر معاصر']"
کتاب برای اولین بار: بیا درستش کنیم, Fix It!,"18,000",,3.29,نشر پنجره,جورجیا بیرکت,71745,978-9642224586,24,1398,,خشتی,,,,چه کسی این اسباب بازی های شکسته را تعمیر می کند؟ به کدام ابزار نیاز خواهیم داشت؟ و هنگامی که آنها ثابت شدند، کجا آنها را نگه داریم؟ کمک به کارهای واقعی یک پیشرفت طبیعی از بازی های وانمودی است و مرحله ای مهم در رشد کودک است. دستیابی به یک هدف مشترک، احساس مسئولیت را تشویق می‌کند و مهارت‌های زیادی را در زندگی بعدی ایجاد می‌کند. متن مکالمه ساده و تصاویر زنده با دقت طراحی شده اند تا گفتگوی بیشتر بین خواننده و کودک را تشویق کنند.,"['ادبیات انگلیس', 'ادبیات کودک و نوجوان', 'دهه 2000 میلادی', 'کتاب کودک', 'سرگرمی', 'تعلیم و تربیت', 'کتاب مصور']"
کتاب باران, Baran,"17,500",,3.7,اژدهای طلایی,معصومه وارسته,92686,978-6227341003,1399,شومیز,,رقعی,,,,من خوشحالم که در این مجموعه توانسته‌ام قسمتی از نمایشنامه واقعی زندگی افراد که در کودکی نوشته‌اند، و تکنیک‌های رهایی از آن را بیان کنم. برای تشریح و توضیح این مفاهیم در این کتاب، به 3 جنبه توجه شده است: 1- محتویات و چگونگی برداشت‌ها در کودکی 2 - چگونگی به اجرا درآوردن محتویات 3- چگونگی رهایی از این برداشت‌ها و گرفتن تصمیمی دوباره جهت رهایی از تصمیمات گذشته مجموعه کتاب‌هایی که در شماره‌های مختلف در اختیار خوانندگان محترم قرار می‌گیرد شامل زندگی افرادی است که روزی از خود پرسیده‌اند «چرا من این‌گونه‌ام؟ این‌گونه می‌اندیشم و این‌گونه رفتار می‌کنم؟»، «آیا می‌توانم جور دیگری باشم و نوع دیگر بیندیشم و رفتار کنم؟!»... و سپس به کمک روان‌درمانگرشان و بازگشت به دوران کودکی خود به این حقیقت پی برده‌اند که تصمیماتی که در کودکی جهت معنا بخشیدن به خود، والدین و دنیای که در آن باید زندگی کنند گرفته‌اند، همگی تحت تاثیر ضعف‌های فکری و جسمی آن دوره از زندگی‌شان بوده است. بنابراین آن‌ها توانسته‌اند این تصمیمات کودکی را بازبینی کنند و تصمیمی دوباره برای زندگی خود بگیرند.,"['روانشناسی', 'خودپروری', 'ادبیات ایران', 'روانشناسی کودک']"
کتاب 13 داستان کوتاه از سیزده نفر, 13 short stories," 18,000 "," 13,500 ",3.66,سیزده,مجموعه ی نویسندگان,44315,978-6009513635,1394,شومیز,,رقعی,,,,,"['ادبیات داستانی', 'مجموعه داستان', 'داستان کوتاه', 'ادبیات ایران', 'کتاب مصور']"
کتاب داستانک های شنبه تا پنج شنبه 10, Dastanak," 15,000 "," 12,000 ",3.01,قدیانی,فریبرز لرستانی,36838,978-9645362278,1394,شومیز,,رحلی,,,,هر یک از داستانک های مصور و بسیار بسیار کوتاه این مجموعه نکته ی عاطفی ظریفی در خود دارند که گاه آنها را به قطعه ی ادبی شبیه تر می کند تا داستان. این داستان های کوتاه در دوازده جلد جداگانه نیز به چاپ رسیده اند.,"['ادبیات داستانی', 'ادبیات کودک و نوجوان', 'مجموعه داستان', 'داستان کوتاه', 'ادبیات ایران', 'کتاب کودک', 'کتاب مصور']"
کتاب فرانک کوچولو و سرقت از بانک, Baby's First Bank Heist," 59,000 "," 47,200 ",3.72,پرتقال,جیم والی,26283,978-6004628235,32,1401,,رحلی,,,,فرانک کوچولو، دلش می‎ خواهد یک حیوان خانگی داشته باشد. اما پدر و مادرش مخالفند، چرا که او هنوز خیلی کم سن و سال است. فرانک تصمیمش را می‎گیرد و به صورت اینترنتی، از بانک دزدی می‎کند و تعداد زیادی حیوان می ‎خرد! وقتی که پدر و مادرش متوجه می‎ شوند، مجبور می‎شوند که برای پرداخت هزینه ‎ها، باغ وحشی تاسیس کنند...,"['ادبیات انگلیس', 'ادبیات داستانی', 'داستان کمدی (طنز)', 'ادبیات کودک و نوجوان', 'دهه 2010 میلادی', 'کتاب کودک', 'داستان حیوانات']"
کتاب لالا رو دوست داره پانی!, Noodle Loves Bedtime,"38,000",,3.14,فنی ایران - نردبان,ماریون بیه,60031,978-6004771092,12,1401,,خشتی,,,,پانی خوابش گرفته؟ خوب حالا وقت این است که با خواندن این کتاب به یک خواب عمیق برود.,"['ادبیات فرانسه', 'داستان فانتزی', 'ادبیات داستانی', 'ادبیات کودک و نوجوان', 'دهه 2010 میلادی', 'کتاب کودک', 'کتاب مصور', 'داستان حیوانات']"
کتاب تفاهم یعنی پذیرش و احترام به تفاوت های یکدیگر در زوج ها, Tafahom," 32,000 "," 25,600 ",3.75,بهار سبز,محمد قهرمانی,92869,978-6225816114,1401,شومیز,,رقعی,,,,,"['ادبیات معاصر', 'ادبیات واقع گرایانه', 'روانشناسی', 'ادبیات ایران']"
کتاب جهان های گم شده, Lost worlds,"12,000",,3.06,علمی و فرهنگی,آن تری وایت,59644,978-9644452062,242,1397,,وزیری,,,,این کتاب جلد هفتم از مجموعه ی گردونه ی تاریخ است. هدف این مجموعه بیان چگونگی وقایع و توصیف چهره های تاریخی با زبانی ساده اما مستند و تفکر برانگیز است.,"['ادبیات آمریکا', 'ادبیات کلاسیک', 'دهه 1940 میلادی', 'تاریخی', 'کتاب مصور']"
کتاب محافظت از انرژی, Save Energy," 35,000 "," 28,000 ",3.43,مهاجر,کی بارنهام,106861,978-9642250035,32,1388,,رحلی,,,,صرفه‌جویی در مصرف انرژی برای جلوگیری از نابودی منابع با ارزش مواد سوختنی مانند نفت‌خام، زغال سنگ گاز طبیعی و استفاده درست از انرژی برای پیشگیری از وقوع تغییرات نامساعد در شرایط آب‌وهوایی کره زمین بسیار حیاتی است. انرژی از کجا به دست می‌آید و چگونه از آن استفاده می‌کنیم و چه تاثیراتی در دنیای ییرامون زندگی‌مان به وجود می‌آورد و تولید انرژی از منابع انرژی تجدید ناپذیر مانند نیروی آب، باد و خورشید که هیچ‌گونه آلودگی در محیط زیست ایجاد نمی‌کنند و همینطور راه‌های صرفه‌جویی انرژی در محیط مدرسه و خانه و...از جمله موضوعاتی هستند که کودکان ضمن مطالعه این کتاب با آن‌ها آشنا می‌شوند و می‌توانند نقش موثری در مراقبت از محیط زیسا و سالم‌سازی آن ایفا کنند.,"['ادبیات انگلیس', 'ادبیات معاصر', 'ادبیات کودک و نوجوان', 'دهه 2000 میلادی', 'کتاب مصور', 'آموزشی', 'محیط زیست']"
کتاب مرا برگردان, Bring Me Back," 185,000 "," 157,250 ",3.19,نشر کتاب پارسه,بی ای پاریس,32418,978-6002536914,368,1399,,رقعی,,,,"قصه ای روانشناسانه به نام ""مرا بازگردان"" به روایت ""بی ای پاریس""، داستانی پرتعلیق و ماجرایی است. فین و لیلا جوان و عاشق اند و به تعطیلات رفته اند. آن ها در بزرگ راهی در حال رانندگی اند که فین تصمیم می گیرد در یک ایستگاه خدمات توقف کرده و از اتاق استراحت آن استفاده کند. از ماشین پیاده می شود و در را پشت سرش قفل کرده و به داخل می رود. وقتی که برمی گردد لیلا رفته است و دیگر هرگز قرار نیست او را ببیند. این داستانی است که فین به پلیس گفت؛ اما این تمام داستان نیست.ده سال بعد فین با خواهر لیلا که اسمش الن است، نامزد کرده است. اندوه مشترکشان که بر سر رفتن لیلا ایجاد شده بود، آن دو را به هم نزدیک کرد و پس از آن تصمیم گرفتند که با هم بمانند. هنوز اما چیزی درباره ی الن وجود دارد که فین به خوبی درک نکرده است. قلب فین می خواهد بپذیرد که الن عشق زندگی اوست، هرچند که حس ششمش به او می گوید که به الن اعتماد نکند.چیزی نمانده به ازدواج او با الن، فین یک تماس تلفنی دریافت می کند. شخصی از گذشته هایش لیلا را دیده است. اتفاقات عجیب دیگری هم در حال رخ دادن است؛ وسایل قدیمی لیلا که خیلی وقت پیش گم شده بودند یکی یکی در خانه ی فین و الن پیدا می شوند. ایمیل هایی از افراد غریبه که به نظر می رسد بیش از حد لازم می دانند. پیام های مخفی، سر نخ ها، هشدار ها...اگر لیلا زنده است و فین را دنبال می کند، حقیقتا چه می خواهد؟ و چه اندازه از اوضاع با خبر است؟ این داستان هیجان انگیز پر تعلیق ""مرا بازگردان"" به قلم ""بی ای پاریس"" است که باعث می شود خواننده همه چیز و همه کس را تا رسیدن به اوج داستان زیر سوال ببرد.","['داستان معمایی', 'ادبیات انگلیس', 'ادبیات داستانی', 'ادبیات معاصر', 'داستان روانشناسانه', 'داستان تریلر', 'دهه 2010 میلادی']"
کتاب صد سال شعر در تهران, One hundred years of poetry in Tehran," 141,000 "," 119,850 ",3.24,علمی و فرهنگی,سجاد گودرزی,60914,978-6222770310,1400,شومیز,,خشتی,,,,بیش از دو قرن است که تهران پایتخت ایران است و از منظرهای مختلف سیاسی، فرهنگی، اقتصادی و اجتماعی نقطه همگرایی ملی و محل وقایع بزرگ تاریخی کشور است. شهر تهران به واسطه ی همین مرکزیت، سه دوره تاریخی متفاوت با مظاهر و مضامین مختلف را از سر گذرانده است.این شهر خاصه در صد سال گذشته بستر اصلی تحولات و وقایع تاریخی مهم سرزمین مان بوده است و به همین جهت است که بررسی جایگاه و واکاوی ابعاد کمتر شناخته شده یا دیده شده این شهر و برجسته سازی آن ضرورت می یابد.باید توجه کرد که علاوه بر اهمیت پرداختن به ابعاد سیاسی و اجتماعی و اقتصادی تهران ظرفیت ها و زمینه های ارزشمند هنری و فرهنگی شهر نباید زیر سایه ابعاد سیاسی شهر گم شود.تهران تنیده در تاریخ معاصر رخدادهای فراوانی را از سر گذرانده و تاب آورده است؛ از انقلاب مشروطه و حضور نیروهای متفقین و کودتای 28 مرداد و انقلاب اسلامی، و جنگ و بمباران و موشک باران و بحران ها و درگیری های مهم تاریخ ساز سیاسی و اجتماعی و بسیار غم ها و شادی های دیگر، شهری که ( غث و سمین ) دارد؛ زیبایی هایش به غایت شکوهمندند، از این رو، جای شگفتی نیست که رد پای تهران را در شعر بسیاری از شاعران کشورمان می توان دید. تهران چه در قالب شعر و چه در قالب نماد، طی این دو قرن و خاصه از نیما به بعد، حضوری مداوم و معنادار در شعر شاعران ایران داشته است. این کتاب منحصر به بخشی از مضمون مذکور در شعر این دوره یعنی شاعران تهران می باشد و...,"['زندگی نامه', 'ادبیات ایران', 'تاریخ ایران', 'شعر ایرانی']"
کتاب واژگان زمین شناسی, Vocabulary of geology,"24,000",,3.63,مرکز نشر دانشگاهی,فرید مر,110368,978-9640111123,,---,,834,,,,کتاب واژگان زمین شناسی توسط نشر مرکز نشر دانشگاهی به بازار عرضه شده است.,"['ادبیات ایران', 'زمین شناسی', 'واژگان و اصطلاحات']"
کتاب روانشناسی ابراز وجود, Your Perfect Right," 220,000 "," 187,000 ",3.57,علمی,رابرت البرتی,31088,978-9644043352,240,1401,,رقعی,,,,"نسخه کاملا جدید کتاب آموزش قاطعیت که به طور گسترده توصیه می‌شود به خوانندگان کمک می‌کند تا با روش‌ها، مثال‌ها و تمرین‌های دقیق‌تر، بیان موثرتری داشته باشند. نسخه نهم به طور کامل اصلاح شده است تا شامل مطالب جدیدی در مورد ابراز قاطعیت در ایمیل و شبکه های اجتماعی، آنچه که باید انجام داد وقتی قاطعیت جواب نمی دهد، ابراز خشم، اصرار، درمان اضطراب اجتماعی، ارائه و دریافت انتقاد، تحقیقات بیان چهره، اجتماعی هوش، مرزهای شخصی، اجزای رفتار قاطعانه و تحقیقات اخیر مغز. این کتابی درباره ی اول بودن نیست - همه چیز درباره قاطعیت رابطه برابر است. - در یک نظرسنجی ملی از روانشناسان که در مجله آمریکایی روان درمانی، روانشناسی امروز و نیویورک تایمز گزارش شده است، در بین تمام کتاب های خودیاری رتبه پنجم را کسب کرده است و رتبه دوازدهم در میان ""بهترین کتابهای خودیاری"" در نظرسنجی ملی که در راهنمای معتبر کتابهای خودیاری (1994) گزارش شده است.تغییر دادن خود ساده نیست. اما این مهم از شما ساخته است، میلیونها نفر با طی دیودهای «جرأت آموزی» در موقعیتی قرار گرفته اند که به راحتی ابراز وجود می کنند. در فصلهای مختلف این کتاب با روش مرحله ای و قدم به قدمی آشنا می شوید که حقانیتش به اثبات رسیده و می تواند رابطه شما دیگران را بهبود بخشد. با رعایت اصول پیشنهادی این روش، بدون کمترین تردید می توانید از آن به سود خود استفاده کنید.","['ادبیات آمریکا', 'دهه 1970 میلادی', 'روانشناسی', 'خودپروری']"
کتاب تفسیر انسان به انسان, The interpretation of man through man,"48,000",,3.54,اسراء,عبدالله جوادی آملی,31307,978-9645984999,1398,جلد سخت,,وزیری,,,,خدای ازلی عنوان آسمانی «خلیفة الله» را به انسان عطا کرده، در حالی که فرشتگان در شناخت او عاجز و ملائک در آفرینش وی مضطرب اند.انسان کیست که عرش و فرش، ملک و فلک مأمورند به وی خدمت کنند؟ او کیست که به تنهایی حامل امانت الهی گشته و تمامی کمالات امکانی از ولایت، نبوت، رسالت، امامت و... در عرصهٴ ذات انسانی نمودار می شود؟,"['فلسفی', 'نقد ادبی', 'دینی و مذهبی', 'ادبیات ایران', 'انسان شناسی']"
کتاب فین و فین و فین, Sniffles," 11,000 "," 8,800 ",3.37,مرغابی,سوناندو چاکرابورتی,75584,978-6009962716,16,1396,,بیاضی,,,,دیوید همش فین و فین می‌کند و سرماخورده است. ولی فردا مسابقه‌ی قهرمانی فوتبال محله است و او نباید جا بماند. آنها مسابقه می‌دهند و قهرمان می‌شوند. هورااا! ولی فردا، مثل اینکه همه سرما خورده‌اند...,"['ادبیات هند', 'ادبیات داستانی', 'ادبیات کودک و نوجوان', 'پزشکی', 'سلامت', 'کتاب کودک', 'کتاب مصور']"
کتاب مدیریت روابط زناشویی, Marital Relationship Management," 100,000 "," 85,000 ",3.33,قطره,جلال یونسی,8674,9786001190315,1402,2009,,رقعی,,,,"کتاب «مدیریت روابط زناشویی» نوشته ی دکتر «سید جلال یونسی» است. در بخشی از مقدمه مولف می خوانید: «در این کتاب سعی شده با ارائه ی مطالب در دو مبحث آسیب های روابط زناشویی و راه کارهای سازگارانه، به تحقیقات روان شناسان در این مباحث جامه ی عمل پوشانده شود؛ بنابراین غنی سازی روابط زناشویی با توجه به نقطه ضعف های این روابط مطرح می شود. برای داشتن مدیریتی کارآمد در نهادی خاص، نیاز است مدیر نسبت به توانمندی ها و نقاط ضعف نهاد موردنظر آگاهی کامل داشته باشد.» در پشت جلد کتاب می خوانید: «زندگی در دنیای پیچیده ی کنونی، ما را با مسائل گوناگون مواجه می کند که گاه موجب سردرگمی ما می شوند. نشر قطره به منظور پاسخ به پرسش های خانواده ها و یاری دادن به آن ها برای حل مشکلاتشان، کتاب های تالیفی ""روان و زندگی"" را با همکاری گروهی از روان پزشکان، روانشناسان و استادان برجسته ی ایران منتشر می کند.»","['ادبیات معاصر', 'دهه 2000 میلادی', 'روانشناسی', 'ادبیات ایران', 'ازدواج و زناشویی']"
کتاب فرهنگ و ارزش, Culture and Value,"85,000",,3.22,گام نو,لودویگ ویتگنشتاین,39834,978-9647387200,140,1395,,رقعی,,,,میراث بر جای مانده از ویتگنشتاین است که پس از مرگ وی،از میان دستنوشته های او برگرفته شده است.به همین جهت،نباید آن را کتابی انگاشت که از ابتدا و انتهای از پیش تعیین شده ای برخوردار است.هرچند این یادداشت ها و گزین گویه ها را تنها در پس زمینه فلسفه ویتگنشتاین میتوان به درستی فهمید.در عین حال آن ها به نوبه خود در فهم این فلسفه نیز سهم به سزایی دارند. بنابراین برای خوانندگانی که با سایر آثار فلسفی ویتگنشتاین آشنا نیستند.این کتاب برای برداشتن گام هایی در مسیر فلسفه او موثر خواهد بود.,"['ادبیات واقع گرایانه', 'دهه 1970 میلادی', 'ادبیات اتریش', 'فلسفی', 'فرهنگی']"
کتاب آبی بسازیم آبستان, Abi Besazim Abestan," 25,000 "," 20,000 ",3.23,فنی ایران - نردبان,زهرا شاهی,59300,978-6004770033,1396,شومیز,,رقعی,,,,کله کفگیری ها و چشماغی ها دو طایفه زشت و بدترکیب هستند که حاضرند هر کاری بکنند تا حال یکدیگر را بگیرند، این دو طایفه کارهای مزخرف و احمقانه زیادی انجام می دهند و باید در همه چیز از طایفه ی رقیب جلوتر باشند حتی اگر بدترین چیز باشد. این بار رئیس چشماغی ها برای اینکه از رئیس کله کفگیری ها عقب نیفتد و آفتابه بیش تری بفروشد، آفتابه دیجیتال کنتورداری ساخته و قرار است به هرکس آب بیشتری استفاده کند جایزه خوبی بدهد…,"['ادبیات داستانی', 'ادبیات نوجوان', 'ادبیات ایران', 'کتاب نوجوان', 'کتاب مصور', 'محیط زیست']"
کتاب راهنمای جامع موفقیت, The Ultimate Success Guide," 190,000 "," 142,500 ",3.98,ذهن آویز,برایان تریسی,4365,978-6001181849,280,1393,,رقعی,,,,,"['ادبیات آمریکا', 'دهه 2010 میلادی', 'روانشناسی', 'تجارت و کسب و کار', 'خودپروری']"
کتاب جنگ دنیاها, The War of the Worlds," 70,000 "," 59,500 ",3.37,محراب قلم,اچ جی ولز,47492,978-6004136310,100,1402,,جیبی,,,,کتاب جنگ دنیاها، در کنار سایر رمان های اچ. جی. ولز، یکی از اولین و برترین آثار علمی تخیلی در طول تاریخ است. حتی مدت ها قبل از این که انسان، پرواز را بیاموزد، اچ. جی. ولز، داستان حمله ی مریخی ها به انگلستان را به رشته ی تحریر درآورد. این موجودات فرازمینی در استوانه های عظیم الجثه ای از راه می رسند. مردم ابتدا از روی کنجکاوی به این استوانه ها نزدیک می شوند و آن ها را خطرناک نمی پندارند؛ تا این که مریخی ها از آن بیرون آمده و بسیاری از جمعیت متحیر را با اشعه ی حرارتی از بین می برند. این موجودات، سر، چهره، پا و بدن های بزرگ گرد دارند و با استفاده از دو دستگاه وحشتناک-دستگاه برداشت و دستگاه مبارزه-به اندازه ی انسان ها تطبیق پذیر و در عین حال شکست ناپذیر می شوند. آن ها ویرانی غیرقابل تصوری به وجود می آورند و ساکنین زمین، هیچ کاری در برابرشان نمی توانند انجام دهند و به نظر می رسد که پایان دنیا فرا رسیده است. اما یک موضوع وجود دارد که مریخی ها، علی رغم داشتن هوشی برتر، به آن فکر نکرده اند و همین موضوع است که این داستان فوق العاده جذاب را به نتیجه ای حیرت آور منتهی می کند.,"['ادبیات اقتباسی', 'داستان ماجرایی', 'داستان علمی تخیلی', 'ادبیات انگلیس', 'ادبیات داستانی', 'ادبیات کلاسیک', 'دهه 1890 میلادی', 'صد کتاب قرن لوموند', '1001 رمانی که باید قبل از مرگ بخوانید', 'فهرست برترین رمان ها در بریتانیا', 'برترین رمان های پادآرمان شهری و پسارستاخیزی']"
کتاب سنجش ترجمه در محیط آموزشی, Assessing translation in an academic setting,"80,000",,3.06,دانشگاه علامه طباطبایی,بهزاد قنسولی,106288,978-9642172375,1395,شومیز,,وزیری,,,,,"['ادبیات ایران', 'کتاب مصور', 'آموزشی']"
کتاب بازی کن،لذت ببر،یاد بگیر:پرسش ها و پاسخ های بامزه, Magic thread 15," 95,000 "," 76,000 ",3.74,کلام,کریستین مورتون,115351,978-6003500044,64,1397,,پالتویی,,,,,"['کتاب کودک', 'سرگرمی', 'آموزشی']"
کتاب خشم فرشتگان, Rage of Angels,"6,500",,3.06,کوشش,سیدنی شلدون,29300,978-9646326262,514,1384,,رقعی,,,,کتاب خشم فرشتگان قصه ی دختری به اسم جنفیر پارکر است .دختری که یکی از ممتاز ترین شاگردان داخل دنشگاه حقوق بوده است.او مدتهای بسیار طولانی و سخت را در دانشکده حقوق به آخر می رساند تا عاقبت به آرزوی قدیمی خود یعنی وکیل شدن رسید.ولی در نخستین روز حاضر بودن داخل دادگاه اتفاقی واسه ی جنیفر افتاد که اتفاقی غیر قابل پیش بینی می باشد.رویدادهایی که سرگذشت او را عوض نمود.جنیفر در دام مافیا می افتد .کتاب خشم فرشتگان نگاشته ی سیدنی شلدون یکی از بهترین نگارنده ها در خصوص ژانر جنایی و پلیسی و حادثه ای می باشد.سیدنی شلدون این اثر را در سال هزار و نهصد و هشتاد نوشت.,"['داستان معمایی', 'ادبیات آمریکا', 'داستان عاشقانه', 'ادبیات داستانی', 'داستان تریلر', 'داستان جنایی', 'دهه 1980 میلادی', 'ادبیات پلیسی']"
کتاب کابوس ها, Nightmares!," 195,000 "," 156,000 ",3.24,هیرمند,جیسون سگل,46397,978-9644084652,472,1400,,رقعی,,,,در این داستان شما همراه با چارلی وارد سرزمین کابوس ها می شوید، جایی که از مدت ها پیش خواب شب را از او ربوده است و چارلی را مجبور کرده شب های زیادی را بیدار بماند و حالا بدون اینکه بخوابد کابوس می بیند، اتفاقی که می تواند به شدت وحشتناک باشد و نه تنها خواب خوش را به آرزویی محال تبدیل کند بلکه لحظه های بیداری را هم سرشار از حوادث ناخوشایند کند.,"['داستان فانتزی', 'ادبیات آمریکا', 'ادبیات داستانی', 'ادبیات کودک و نوجوان', 'داستان وحشت', 'دهه 2010 میلادی', 'رمان', 'کتاب کودک', 'کتاب نوجوان']"
کتاب آخرین یادداشت ها, Writings from the Late Notebooks,"215,000",,3.91,آگاه,فردریش نیچه,30226,978-9644163210,478,1401,,رقعی,,,,,"['ادبیات واقع گرایانه', 'ادبیات آلمان', 'دهه 2000 میلادی', 'فلسفی']"
کتاب برنامه کتاب فرانکلین در ایران, Education and the Cultural Cold War in the Middle East The Franklin ‭Book Programs in Iran,"165,000",,3.71,شیرازه,مهدی گنجوی,107417,978-6225346130,312,1402,,رقعی,,,,,"['ادبیات معاصر', 'ادبیات واقع گرایانه', 'ادبیات ایران']"
کتاب فرهنگ هدیه, Dictionary,"29,000",,3.36,نشر الکترونیکی و اطلاع رسانی جهان رایانه امین,منوچهر آریانپورکاشانی,53306,978-9648603354,1390,شومیز,,جیبی,,,,کتاب فرهنگ هدیه فارسی به انگلیسی آریان پور از مجموعه کتاب های فرهنگ پیشرو آریان پور تالیف دکتر منوچهر آریان پور کاشانی، شامل 5000 کلمه رایج در زبان فارسی به همراه ترجمه انگلیسی آنها می باشد. در این کتاب علاوه بر ترجمه انگلیسی ، نقش کلمات در جمله نیز مشخص شده و چاپ کتاب در سایز کوچک ( به اندازه کف دست ) می تواند به یادگیری آسان زبان انگلیسی در هر زمان و مکان کمک کند.در تدوین این فرهنگ نیز سعی شده است مانند دیگر فرهنگ های پیشرو آریان پور محتوای کیفی علیرغم حجم محدود آن حفظ شود. همچنین جهت تسهیل کاربران این فرهنگ به شیوه ی چاپ دورنگ عرضه می شود.,"['ادبیات انگلیس', 'ادبیات ایران', 'فرهنگ لغت']"
کتاب جایی که ماه نیست, Where the Moon Isn't,"38,000",,3.78,نشر نون,نیتان فایلر,1044,978-600-7141-43-4,296,1398,,رقعی,,,,"کتاب جایی که ماه نیست، رمانی نوشته ی نیتان فایلر است که اولین بار در سال 2013 به چاپ رسید.
متیو هومز و برادر بزرگترش در حالی که به همراه پدر و مادرشان در تعطیلات هستند، شبانه و به صورت مخفیانه از خانه خارج می شوند اما فقط متیو، سالم به خانه بازمی گردد. ده سال بعد، متیو باور دارد راهی پیدا کرده تا برادرش را به خانه بازگرداند. چیزی که به عنوان داستان پسری گمشده آغاز می شود، رفته رفته به داستان مردی شجاع تغییر می یابد که در تلاش است بفهمد در آن شب چه اتفاقاتی افتاد. این رمان منحصر به فرد و درخشان از نیتان فایلر، به نقاط تاریک قلب بشر نگاه می اندازد و قدرتی را به مخاطبین نشان می دهد که که در مقاومت و عشق ریشه دارد.","['ادبیات انگلیس', 'جایزه ی کاستا بوک(ویت برد)', 'جایزه ی ملی کتاب انگلستان', 'ادبیات داستانی', 'ادبیات معاصر', 'ادبیات نوجوان', 'داستان درام', 'دهه 2010 میلادی', 'پرافتخارترین کتاب ها', 'کتاب نوجوان']"
کتاب رجل سیاسی, political man,"40,000",,3.08,رسول آفتاب,رحیم مخدومی,102650,978-6009341368,1392,شومیز,,رقعی,,,,کتاب «رجل سیاسی» اثر رحیم مخدومی شامل آثار 60 شرکت کننده در سومین جشنواره داستان مردمی رسول آفتاب است.,"['ادبیات معاصر', 'مجموعه داستان', 'داستان کوتاه', 'ادبیات ایران']"
کتاب سوار بر اسب مرده, Savar Bar Asb-e Morde," 5,500 "," 4,675 ",3.26,افق,مهدی جعفری,24810,978-9643697181,1397,شومیز,,رقعی,,,,دو داستان که بصورت همزمان و پایاپای روایت می شوند، قصه زندگی خسرو، مردی که تمام ثروت خانوادگی اش را از دست داده است و پس از سال ها به خانه قدیمی، کلبه ای سرشار از یاد عشق قدیمی اش سیمین، بازگشته؛ قصه ی دیگر را نویسنده ای جوان با نام جعفر مهدوی نگارش کرده و برای خسرو فرستاده است. داستان، زندگی اسفندیار و همسرش پریوش را به تصویر می کشد. کارگری که یک روز صبح هنگام برخاستن از خواب تاب حرکت را در بدن خود نمی یابد.,"['ادبیات داستانی', 'رمان', 'ادبیات ایران']"
کتاب نظریه های جدید جغرافیای سیاسی, New theory of political geography,"80,000",,3.69,قومس,عزت الله عزتی,97980,964-8811121,1395,شومیز,,رقعی,,,,"جغرافیا استعاره‌ای از سیاست است. تصمیمات سیاسی در یک محیط کلی اتخاذ می‌شود و در نتیجه تصویری از واحدهای سیاسی به وسیله‌ی جغرافیدان‌ها عرضه می‌گردد. هیچ‌گاه یک سیاستمدار نتوانسته بدون داشتن دید کلی از جغرافیای سیاسی و یا ژئوپولیتیک در برخورد با مسائل جهانی و یا منطقه‌ای و محلی به راه‌کارهای مطلوب برسد. به همین دلیل در دهه‌های اخیر جغرافیدانان سیاسی به نظریه‌های جدیدی دست یافته‌اند و توانسته‌اند در حل مشکلات بین‌المللی به موفقیت‌های چشمگیری دست یابند. با این مقدمه کتاب حاضر در شش فصل با هدف معرفی و تبیین نظریه‌های جدید در جغرافیایی سیاسی تدوین شده و این مباحث را دربرمی‌گیرد: ""ماهیت دولت‌ها و حکومت‌ها""، ""بررسی نظریه از سیاستمداری تا اقتصادمداری""، ""جغرافیای سیاسی و امنیت""، ""جغرافیا و دموکراسی""، ""جغرافیای جنگ"" و ""جغرافیا و جهانی‌سازی"".","['ادبیات واقع گرایانه', 'سیاسی', 'ادبیات ایران', 'جغرافیا']"
کتاب وقتی دماغ پینوکیو توی سوراخ گوش من بود, When Pinocchio's nose was in my ear hole,"14,000",,3.22,مروارید,فاضل ترکمن,10480,9789641913078,1393,2014,,رقعی,,,,ترکمن در این مجموعه به سراغ سوژه های مختلف سیاسی، اجتماعی، فرهنگی و عاشقانه رفته و قالب اشعار کتاب نیز متنوع است. در ابتدای کتاب یادداشت طنزآمیزی آمده که ترکمن در آن با شخصیت های معروف کتاب ها، فیلم ها و انیمیشن ها شوخی کرده است و این یادداشت به نوعی مخاطب را با فضای شعرهای طنز کتاب آشنا می کند.,"['ادبیات معاصر', 'دهه 2010 میلادی', 'شعر', 'ادبیات ایران', 'شعر طنز']"
